#Fixed HDF5, Moving HDF5, Shift[0] (um), Shift[1] (um), Distance (nm), start key, end key, method, sig key, reference hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210928_0004_0_outer_1.hdf5,0.000,0.000,0.00,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,
Results_20210928_0004_0_outer_1.hdf5,Results_20210929_0005_-7.5_outer_1.hdf5,0.263,-0.002,263.26,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211005_0005_-15_outer_1.hdf5,0.653,0.065,656.45,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210929_0005_-7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210914_0004_-22.5_outer_1.hdf5,-0.549,0.398,678.44,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211005_0005_-15_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210924_0004_-30_outer_1.hdf5,-0.488,0.324,585.28,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211022_0003_-37.5_outer_1.hdf5,1.520,0.237,1538.16,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210906_0002_-45_outer_1.hdf5,-2.065,0.556,2138.78,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20211022_0003_-37.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210930_0007_7.5_outer_1.hdf5,-0.304,-0.045,307.81,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210928_0004_0_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210908_0004_15_outer_1.hdf5,0.439,0.235,498.06,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210930_0007_7.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210922_0004_22.5_outer_1.hdf5,0.456,0.144,477.81,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210908_0004_15_outer_1.hdf5
